feature,importance
Which elearning courses or platforms are you currently engaged in.,0.36764480553147416
Select all your past and present Education Level/Certificates (You can choose more than one),0.10002742348915827
Why do you use social networks? (You can choose more than one),0.09048122271001015
Select all the emerging technologies that you have used or participated in for academic purposes (You can choose more than one),0.06383390231135938
Please select all social Media Platforms for which you have a personal profile or account (You can choose more than one),0.05866364808042304
Select your present Academic Status,0.05434759053822205
I have the technical skills to use social media platforms and emerging technologies for learning,0.039684654637124804
 My colleagues think I should use social media and emerging technologies for learning,0.03690661900644171
How often do you visit your Social Network accounts?,0.025543082676018136
Select your geographical zone,0.024667020507886536
